Entity,Code,Date,Total confirmed deaths due to COVID-19 (deaths)
Afghanistan,AFG,"Feb 22, 2020",0
Afghanistan,AFG,"Feb 23, 2020",0
Afghanistan,AFG,"Feb 24, 2020",0
Afghanistan,AFG,"Feb 25, 2020",0
Afghanistan,AFG,"Feb 26, 2020",0
Afghanistan,AFG,"Feb 27, 2020",0
Afghanistan,AFG,"Feb 28, 2020",0
Afghanistan,AFG,"Feb 29, 2020",0
Afghanistan,AFG,"Mar 1, 2020",0
Afghanistan,AFG,"Mar 2, 2020",0
Afghanistan,AFG,"Mar 8, 2020",0
Afghanistan,AFG,"Mar 11, 2020",0
Afghanistan,AFG,"Mar 15, 2020",0
Afghanistan,AFG,"Mar 16, 2020",0
Afghanistan,AFG,"Mar 17, 2020",0
Afghanistan,AFG,"Mar 18, 2020",0
Afghanistan,AFG,"Mar 19, 2020",0
Afghanistan,AFG,"Mar 20, 2020",0
Afghanistan,AFG,"Mar 21, 2020",0
Afghanistan,AFG,"Mar 22, 2020",0
Afghanistan,AFG,"Mar 23, 2020",0
Afghanistan,AFG,"Mar 24, 2020",1
Afghanistan,AFG,"Mar 25, 2020",1
Afghanistan,AFG,"Mar 26, 2020",1
Afghanistan,AFG,"Mar 27, 2020",1
Afghanistan,AFG,"Mar 28, 2020",2
Afghanistan,AFG,"Mar 29, 2020",3
Afghanistan,AFG,"Mar 30, 2020",4
Afghanistan,AFG,"Mar 31, 2020",4
Afghanistan,AFG,"Apr 1, 2020",4
Afghanistan,AFG,"Apr 2, 2020",4
Afghanistan,AFG,"Apr 3, 2020",4
Afghanistan,AFG,"Apr 4, 2020",4
Afghanistan,AFG,"Apr 5, 2020",5
Afghanistan,AFG,"Apr 6, 2020",7
Afghanistan,AFG,"Apr 7, 2020",7
Afghanistan,AFG,"Apr 8, 2020",11
Afghanistan,AFG,"Apr 9, 2020",14
Afghanistan,AFG,"Apr 10, 2020",15
Afghanistan,AFG,"Apr 11, 2020",15
Afghanistan,AFG,"Apr 12, 2020",18
Afghanistan,AFG,"Apr 13, 2020",18
Afghanistan,AFG,"Apr 14, 2020",21
Afghanistan,AFG,"Apr 15, 2020",23
Afghanistan,AFG,"Apr 16, 2020",25
Afghanistan,AFG,"Apr 17, 2020",29
Afghanistan,AFG,"Apr 18, 2020",30
Afghanistan,AFG,"Apr 19, 2020",30
Afghanistan,AFG,"Apr 20, 2020",33
Afghanistan,AFG,"Apr 21, 2020",35
Afghanistan,AFG,"Apr 22, 2020",36
Afghanistan,AFG,"Apr 23, 2020",40
Afghanistan,AFG,"Apr 24, 2020",42
Afghanistan,AFG,"Apr 25, 2020",43
Afghanistan,AFG,"Apr 26, 2020",47
Afghanistan,AFG,"Apr 27, 2020",57
Afghanistan,AFG,"Apr 28, 2020",57
Afghanistan,AFG,"Apr 29, 2020",60
Afghanistan,AFG,"Apr 30, 2020",60
Afghanistan,AFG,"May 1, 2020",64
Afghanistan,AFG,"May 2, 2020",68
Afghanistan,AFG,"May 3, 2020",72
Afghanistan,AFG,"May 4, 2020",85
Afghanistan,AFG,"May 5, 2020",90
Afghanistan,AFG,"May 6, 2020",95
Afghanistan,AFG,"May 7, 2020",104
Afghanistan,AFG,"May 8, 2020",106
Afghanistan,AFG,"May 9, 2020",109
Afghanistan,AFG,"May 10, 2020",115
Afghanistan,AFG,"May 11, 2020",120
Afghanistan,AFG,"May 12, 2020",122
Afghanistan,AFG,"May 13, 2020",127
Afghanistan,AFG,"May 14, 2020",130
Afghanistan,AFG,"May 15, 2020",136
Afghanistan,AFG,"May 16, 2020",168
Afghanistan,AFG,"May 17, 2020",168
Afghanistan,AFG,"May 18, 2020",169
Afghanistan,AFG,"May 19, 2020",173
Afghanistan,AFG,"May 20, 2020",178
Afghanistan,AFG,"May 21, 2020",187
Afghanistan,AFG,"May 22, 2020",193
Afghanistan,AFG,"May 23, 2020",205
Afghanistan,AFG,"May 24, 2020",216
Afghanistan,AFG,"May 25, 2020",218
Afghanistan,AFG,"May 26, 2020",219
Afghanistan,AFG,"May 27, 2020",220
Afghanistan,AFG,"May 28, 2020",227
Afghanistan,AFG,"May 29, 2020",235
Afghanistan,AFG,"May 30, 2020",246
Afghanistan,AFG,"May 31, 2020",249
Afghanistan,AFG,"Jun 1, 2020",257
Afghanistan,AFG,"Jun 2, 2020",265
Afghanistan,AFG,"Jun 3, 2020",270
Afghanistan,AFG,"Jun 4, 2020",294
Afghanistan,AFG,"Jun 5, 2020",300
Afghanistan,AFG,"Jun 6, 2020",309
Afghanistan,AFG,"Jun 7, 2020",327
Afghanistan,AFG,"Jun 8, 2020",357
Afghanistan,AFG,"Jun 9, 2020",369
Afghanistan,AFG,"Jun 10, 2020",384
Afghanistan,AFG,"Jun 11, 2020",405
Afghanistan,AFG,"Jun 12, 2020",426
Afghanistan,AFG,"Jun 13, 2020",446
Afghanistan,AFG,"Jun 14, 2020",451
Afghanistan,AFG,"Jun 15, 2020",471
Afghanistan,AFG,"Jun 16, 2020",478
Afghanistan,AFG,"Jun 17, 2020",491
Afghanistan,AFG,"Jun 18, 2020",504
Afghanistan,AFG,"Jun 19, 2020",546
Afghanistan,AFG,"Jun 20, 2020",548
Afghanistan,AFG,"Jun 21, 2020",569
Afghanistan,AFG,"Jun 22, 2020",581
Afghanistan,AFG,"Jun 23, 2020",598
Afghanistan,AFG,"Jun 24, 2020",618
Afghanistan,AFG,"Jun 25, 2020",639
Afghanistan,AFG,"Jun 26, 2020",675
Afghanistan,AFG,"Jun 27, 2020",683
Afghanistan,AFG,"Jun 28, 2020",703
Afghanistan,AFG,"Jun 29, 2020",721
Afghanistan,AFG,"Jun 30, 2020",733
Afghanistan,AFG,"Jul 1, 2020",746
Afghanistan,AFG,"Jul 2, 2020",774
Afghanistan,AFG,"Jul 3, 2020",807
Afghanistan,AFG,"Jul 4, 2020",819
Afghanistan,AFG,"Jul 5, 2020",826
Afghanistan,AFG,"Jul 6, 2020",864
Afghanistan,AFG,"Jul 7, 2020",920
Afghanistan,AFG,"Jul 8, 2020",936
Afghanistan,AFG,"Jul 9, 2020",937
Afghanistan,AFG,"Jul 10, 2020",957
Afghanistan,AFG,"Jul 11, 2020",994
Afghanistan,AFG,"Jul 12, 2020",1010
Afghanistan,AFG,"Jul 13, 2020",1010
Afghanistan,AFG,"Jul 14, 2020",1012
Afghanistan,AFG,"Jul 15, 2020",1045
Afghanistan,AFG,"Jul 16, 2020",1094
Afghanistan,AFG,"Jul 17, 2020",1115
Afghanistan,AFG,"Jul 18, 2020",1147
Afghanistan,AFG,"Jul 19, 2020",1164
Africa,,"Dec 31, 2019",0
Africa,,"Jan 1, 2020",0
Africa,,"Jan 2, 2020",0
Africa,,"Jan 3, 2020",0
Africa,,"Jan 4, 2020",0
Africa,,"Jan 5, 2020",0
Africa,,"Jan 6, 2020",0
Africa,,"Jan 7, 2020",0
Africa,,"Jan 8, 2020",0
Africa,,"Jan 9, 2020",0
Africa,,"Jan 10, 2020",0
Africa,,"Jan 11, 2020",0
Africa,,"Jan 12, 2020",0
Africa,,"Jan 13, 2020",0
Africa,,"Jan 14, 2020",0
Africa,,"Jan 15, 2020",0
Africa,,"Jan 16, 2020",0
Africa,,"Jan 17, 2020",0
Africa,,"Jan 18, 2020",0
Africa,,"Jan 19, 2020",0
Africa,,"Jan 20, 2020",0
Africa,,"Jan 21, 2020",0
Africa,,"Jan 22, 2020",0
Africa,,"Jan 23, 2020",0
Africa,,"Jan 24, 2020",0
Africa,,"Jan 25, 2020",0
Africa,,"Jan 26, 2020",0
Africa,,"Jan 27, 2020",0
Africa,,"Jan 28, 2020",0
Africa,,"Jan 29, 2020",0
Africa,,"Jan 30, 2020",0
Africa,,"Jan 31, 2020",0
Africa,,"Feb 1, 2020",0
Africa,,"Feb 2, 2020",0
Africa,,"Feb 3, 2020",0
Africa,,"Feb 4, 2020",0
Africa,,"Feb 5, 2020",0
Africa,,"Feb 6, 2020",0
Africa,,"Feb 7, 2020",0
Africa,,"Feb 8, 2020",0
Africa,,"Feb 9, 2020",0
Africa,,"Feb 10, 2020",0
Africa,,"Feb 11, 2020",0
Africa,,"Feb 12, 2020",0
Africa,,"Feb 13, 2020",0
Africa,,"Feb 14, 2020",0
Africa,,"Feb 15, 2020",0
Africa,,"Feb 16, 2020",0
Africa,,"Feb 17, 2020",0
Africa,,"Feb 18, 2020",0
Africa,,"Feb 19, 2020",0
Africa,,"Feb 20, 2020",0
Africa,,"Feb 21, 2020",0
Africa,,"Feb 22, 2020",0
Africa,,"Feb 23, 2020",0
Africa,,"Feb 24, 2020",0
Africa,,"Feb 25, 2020",0
Africa,,"Feb 26, 2020",0
Africa,,"Feb 27, 2020",0
Africa,,"Feb 28, 2020",0
Africa,,"Feb 29, 2020",0
Africa,,"Mar 1, 2020",0
Africa,,"Mar 2, 2020",0
Africa,,"Mar 3, 2020",0
Africa,,"Mar 4, 2020",0
Africa,,"Mar 5, 2020",0
Africa,,"Mar 6, 2020",0
Africa,,"Mar 7, 2020",0
Africa,,"Mar 8, 2020",0
Africa,,"Mar 9, 2020",1
Africa,,"Mar 10, 2020",1
Africa,,"Mar 11, 2020",1
Africa,,"Mar 12, 2020",2
Africa,,"Mar 13, 2020",4
Africa,,"Mar 14, 2020",5
Africa,,"Mar 15, 2020",6
Africa,,"Mar 16, 2020",8
Africa,,"Mar 17, 2020",8
Africa,,"Mar 18, 2020",12
Africa,,"Mar 19, 2020",16
Africa,,"Mar 20, 2020",17
Africa,,"Mar 21, 2020",24
Africa,,"Mar 22, 2020",35
Africa,,"Mar 23, 2020",44
Africa,,"Mar 24, 2020",52
Africa,,"Mar 25, 2020",64
Africa,,"Mar 26, 2020",72
Africa,,"Mar 27, 2020",84
Africa,,"Mar 28, 2020",103
Africa,,"Mar 29, 2020",124
Africa,,"Mar 30, 2020",143
Africa,,"Mar 31, 2020",166
Africa,,"Apr 1, 2020",189
Africa,,"Apr 2, 2020",224
Africa,,"Apr 3, 2020",256
Africa,,"Apr 4, 2020",305
Africa,,"Apr 5, 2020",379
Africa,,"Apr 6, 2020",434
Africa,,"Apr 7, 2020",477
Africa,,"Apr 8, 2020",522
Africa,,"Apr 9, 2020",573
Africa,,"Apr 10, 2020",630
Africa,,"Apr 11, 2020",691
Africa,,"Apr 12, 2020",743
Africa,,"Apr 13, 2020",789
Africa,,"Apr 14, 2020",835
Africa,,"Apr 15, 2020",876
Africa,,"Apr 16, 2020",911
Africa,,"Apr 17, 2020",965
Africa,,"Apr 18, 2020",1016
Africa,,"Apr 19, 2020",1057
Africa,,"Apr 20, 2020",1120
Africa,,"Apr 21, 2020",1155
Africa,,"Apr 22, 2020",1189
Africa,,"Apr 23, 2020",1232
Africa,,"Apr 24, 2020",1286
Africa,,"Apr 25, 2020",1334
Africa,,"Apr 26, 2020",1378
Africa,,"Apr 27, 2020",1415
Africa,,"Apr 28, 2020",1470
Africa,,"Apr 29, 2020",1524
Africa,,"Apr 30, 2020",1591
Africa,,"May 1, 2020",1635
Africa,,"May 2, 2020",1690
Africa,,"May 3, 2020",1760
Africa,,"May 4, 2020",1799
Africa,,"May 5, 2020",1845
Africa,,"May 6, 2020",1914
Africa,,"May 7, 2020",2011
Africa,,"May 8, 2020",2078
Africa,,"May 9, 2020",2155
Africa,,"May 10, 2020",2223
Africa,,"May 11, 2020",2290
Africa,,"May 12, 2020",2347
Africa,,"May 13, 2020",2403
Africa,,"May 14, 2020",2490
Africa,,"May 15, 2020",2563
Africa,,"May 16, 2020",2634
Africa,,"May 17, 2020",2699
Africa,,"May 18, 2020",2759
Africa,,"May 19, 2020",2831
Africa,,"May 20, 2020",2903
Africa,,"May 21, 2020",2992
Africa,,"May 22, 2020",3100
Africa,,"May 23, 2020",3183
Africa,,"May 24, 2020",3257
Africa,,"May 25, 2020",3339
Africa,,"May 26, 2020",3478
Africa,,"May 27, 2020",3590
Africa,,"May 28, 2020",3691
Africa,,"May 29, 2020",3789
Africa,,"May 30, 2020",3923
Africa,,"May 31, 2020",4071
Africa,,"Jun 1, 2020",4222
Africa,,"Jun 2, 2020",4344
Africa,,"Jun 3, 2020",4495
Africa,,"Jun 4, 2020",4583
Africa,,"Jun 5, 2020",4743
Africa,,"Jun 6, 2020",4904
Africa,,"Jun 7, 2020",5033
Africa,,"Jun 8, 2020",5171
Africa,,"Jun 9, 2020",5346
Africa,,"Jun 10, 2020",5517
Africa,,"Jun 11, 2020",5671
Africa,,"Jun 12, 2020",5844
Africa,,"Jun 13, 2020",6100
Africa,,"Jun 14, 2020",6297
Africa,,"Jun 15, 2020",6523
Africa,,"Jun 16, 2020",6760
Africa,,"Jun 17, 2020",6998
Africa,,"Jun 18, 2020",7197
Africa,,"Jun 19, 2020",7401
Africa,,"Jun 20, 2020",7688
Africa,,"Jun 21, 2020",7920
Africa,,"Jun 22, 2020",8111
Africa,,"Jun 23, 2020",8329
Africa,,"Jun 24, 2020",8613
Africa,,"Jun 25, 2020",8763
Africa,,"Jun 26, 2020",9069
Africa,,"Jun 27, 2020",9276
Africa,,"Jun 28, 2020",9480
Africa,,"Jun 29, 2020",9660
Africa,,"Jun 30, 2020",9878
Africa,,"Jul 1, 2020",10147
Africa,,"Jul 2, 2020",10400
Africa,,"Jul 3, 2020",10644
Africa,,"Jul 4, 2020",10878
Africa,,"Jul 5, 2020",11079
Africa,,"Jul 6, 2020",11372
Africa,,"Jul 7, 2020",11630
Africa,,"Jul 8, 2020",11988
Africa,,"Jul 9, 2020",12235
Africa,,"Jul 10, 2020",12461
Africa,,"Jul 11, 2020",12760
Africa,,"Jul 12, 2020",12989
Africa,,"Jul 13, 2020",13155
Africa,,"Jul 14, 2020",13461
Africa,,"Jul 15, 2020",13800
Africa,,"Jul 16, 2020",14044
Africa,,"Jul 17, 2020",14389
Africa,,"Jul 18, 2020",14669
Africa,,"Jul 19, 2020",14944
Albania,ALB,"Mar 9, 2020",0
Albania,ALB,"Mar 10, 2020",0
Albania,ALB,"Mar 11, 2020",0
Albania,ALB,"Mar 12, 2020",1
Albania,ALB,"Mar 13, 2020",1
Albania,ALB,"Mar 14, 2020",1
Albania,ALB,"Mar 15, 2020",1
Albania,ALB,"Mar 16, 2020",1
Albania,ALB,"Mar 17, 2020",1
Albania,ALB,"Mar 18, 2020",1
Albania,ALB,"Mar 19, 2020",2
Albania,ALB,"Mar 20, 2020",2
Albania,ALB,"Mar 21, 2020",2
Albania,ALB,"Mar 22, 2020",2
Albania,ALB,"Mar 23, 2020",2
Albania,ALB,"Mar 24, 2020",4
Albania,ALB,"Mar 25, 2020",5
Albania,ALB,"Mar 26, 2020",5
Albania,ALB,"Mar 27, 2020",6
Albania,ALB,"Mar 28, 2020",9
Albania,ALB,"Mar 29, 2020",10
Albania,ALB,"Mar 30, 2020",10
Albania,ALB,"Mar 31, 2020",12
Albania,ALB,"Apr 1, 2020",15
Albania,ALB,"Apr 2, 2020",15
Albania,ALB,"Apr 3, 2020",16
Albania,ALB,"Apr 4, 2020",17
Albania,ALB,"Apr 5, 2020",19
Albania,ALB,"Apr 6, 2020",21
Albania,ALB,"Apr 7, 2020",22
Albania,ALB,"Apr 8, 2020",22
Albania,ALB,"Apr 9, 2020",22
Albania,ALB,"Apr 10, 2020",23
Albania,ALB,"Apr 11, 2020",23
Albania,ALB,"Apr 12, 2020",23
Albania,ALB,"Apr 13, 2020",23
Albania,ALB,"Apr 14, 2020",23
Albania,ALB,"Apr 15, 2020",24
Albania,ALB,"Apr 16, 2020",25
Albania,ALB,"Apr 17, 2020",26
Albania,ALB,"Apr 18, 2020",26
Albania,ALB,"Apr 19, 2020",26
Albania,ALB,"Apr 20, 2020",26
Albania,ALB,"Apr 21, 2020",26
Albania,ALB,"Apr 22, 2020",26
Albania,ALB,"Apr 23, 2020",27
Albania,ALB,"Apr 24, 2020",27
Albania,ALB,"Apr 25, 2020",27
Albania,ALB,"Apr 26, 2020",27
Albania,ALB,"Apr 27, 2020",28
Albania,ALB,"Apr 28, 2020",28
Albania,ALB,"Apr 29, 2020",30
Albania,ALB,"Apr 30, 2020",31
Albania,ALB,"May 1, 2020",31
Albania,ALB,"May 2, 2020",31
Albania,ALB,"May 3, 2020",31
Albania,ALB,"May 4, 2020",31
Albania,ALB,"May 5, 2020",31
Albania,ALB,"May 6, 2020",31
Albania,ALB,"May 7, 2020",31
Albania,ALB,"May 8, 2020",31
Albania,ALB,"May 9, 2020",31
Albania,ALB,"May 10, 2020",31
Albania,ALB,"May 11, 2020",31
Albania,ALB,"May 12, 2020",31
Albania,ALB,"May 13, 2020",31
Albania,ALB,"May 14, 2020",31
Albania,ALB,"May 15, 2020",31
Albania,ALB,"May 16, 2020",31
Albania,ALB,"May 17, 2020",31
Albania,ALB,"May 18, 2020",31
Albania,ALB,"May 19, 2020",31
Albania,ALB,"May 20, 2020",31
Albania,ALB,"May 21, 2020",31
Albania,ALB,"May 22, 2020",31
Albania,ALB,"May 23, 2020",31
Albania,ALB,"May 24, 2020",31
Albania,ALB,"May 25, 2020",32
Albania,ALB,"May 26, 2020",32
Albania,ALB,"May 27, 2020",33
Albania,ALB,"May 28, 2020",33
Albania,ALB,"May 29, 2020",33
Albania,ALB,"May 30, 2020",33
Albania,ALB,"May 31, 2020",33
Albania,ALB,"Jun 1, 2020",33
Albania,ALB,"Jun 2, 2020",33
Albania,ALB,"Jun 3, 2020",33
Albania,ALB,"Jun 4, 2020",33
Albania,ALB,"Jun 5, 2020",33
Albania,ALB,"Jun 6, 2020",33
Albania,ALB,"Jun 7, 2020",34
Albania,ALB,"Jun 8, 2020",34
Albania,ALB,"Jun 9, 2020",34
Albania,ALB,"Jun 10, 2020",34
Albania,ALB,"Jun 11, 2020",34
Albania,ALB,"Jun 12, 2020",35
Albania,ALB,"Jun 13, 2020",36
Albania,ALB,"Jun 14, 2020",36
Albania,ALB,"Jun 15, 2020",36
Albania,ALB,"Jun 16, 2020",36
Albania,ALB,"Jun 17, 2020",37
Albania,ALB,"Jun 18, 2020",38
Albania,ALB,"Jun 19, 2020",39
Albania,ALB,"Jun 20, 2020",42
Albania,ALB,"Jun 21, 2020",43
Albania,ALB,"Jun 22, 2020",44
Albania,ALB,"Jun 23, 2020",44
Albania,ALB,"Jun 24, 2020",45
Albania,ALB,"Jun 25, 2020",47
Albania,ALB,"Jun 26, 2020",49
Albania,ALB,"Jun 27, 2020",51
Albania,ALB,"Jun 28, 2020",53
Albania,ALB,"Jun 29, 2020",55
Albania,ALB,"Jun 30, 2020",58
Albania,ALB,"Jul 1, 2020",62
Albania,ALB,"Jul 2, 2020",65
Albania,ALB,"Jul 3, 2020",69
Albania,ALB,"Jul 4, 2020",72
Albania,ALB,"Jul 5, 2020",74
Albania,ALB,"Jul 6, 2020",76
Albania,ALB,"Jul 7, 2020",79
Albania,ALB,"Jul 8, 2020",81
Albania,ALB,"Jul 9, 2020",83
Albania,ALB,"Jul 10, 2020",83
Albania,ALB,"Jul 11, 2020",85
Albania,ALB,"Jul 12, 2020",89
Albania,ALB,"Jul 13, 2020",93
Albania,ALB,"Jul 14, 2020",95
Albania,ALB,"Jul 15, 2020",97
Albania,ALB,"Jul 16, 2020",101
Albania,ALB,"Jul 17, 2020",104
Albania,ALB,"Jul 18, 2020",107
Albania,ALB,"Jul 19, 2020",111
Algeria,DZA,"Dec 31, 2019",0
Algeria,DZA,"Jan 1, 2020",0
Algeria,DZA,"Jan 2, 2020",0
Algeria,DZA,"Jan 3, 2020",0
Algeria,DZA,"Jan 4, 2020",0
Algeria,DZA,"Jan 5, 2020",0
Algeria,DZA,"Jan 6, 2020",0
Algeria,DZA,"Jan 7, 2020",0
Algeria,DZA,"Jan 8, 2020",0
Algeria,DZA,"Jan 9, 2020",0
Algeria,DZA,"Jan 10, 2020",0
Algeria,DZA,"Jan 11, 2020",0
Algeria,DZA,"Jan 12, 2020",0
Algeria,DZA,"Jan 13, 2020",0
Algeria,DZA,"Jan 14, 2020",0
Algeria,DZA,"Jan 15, 2020",0
Algeria,DZA,"Jan 16, 2020",0
Algeria,DZA,"Jan 17, 2020",0
Algeria,DZA,"Jan 18, 2020",0
Algeria,DZA,"Jan 19, 2020",0
Algeria,DZA,"Jan 20, 2020",0
Algeria,DZA,"Jan 21, 2020",0
Algeria,DZA,"Jan 22, 2020",0
Algeria,DZA,"Jan 23, 2020",0
Algeria,DZA,"Jan 24, 2020",0
Algeria,DZA,"Jan 25, 2020",0
Algeria,DZA,"Jan 26, 2020",0
Algeria,DZA,"Jan 27, 2020",0
Algeria,DZA,"Jan 28, 2020",0
Algeria,DZA,"Jan 29, 2020",0
Algeria,DZA,"Jan 30, 2020",0
Algeria,DZA,"Jan 31, 2020",0
Algeria,DZA,"Feb 1, 2020",0
Algeria,DZA,"Feb 2, 2020",0
Algeria,DZA,"Feb 3, 2020",0
Algeria,DZA,"Feb 4, 2020",0
Algeria,DZA,"Feb 5, 2020",0
Algeria,DZA,"Feb 6, 2020",0
Algeria,DZA,"Feb 7, 2020",0
Algeria,DZA,"Feb 8, 2020",0
Algeria,DZA,"Feb 9, 2020",0
Algeria,DZA,"Feb 10, 2020",0
Algeria,DZA,"Feb 11, 2020",0
Algeria,DZA,"Feb 12, 2020",0
Algeria,DZA,"Feb 13, 2020",0
Algeria,DZA,"Feb 14, 2020",0
Algeria,DZA,"Feb 15, 2020",0
Algeria,DZA,"Feb 16, 2020",0
Algeria,DZA,"Feb 17, 2020",0
Algeria,DZA,"Feb 18, 2020",0
Algeria,DZA,"Feb 19, 2020",0
Algeria,DZA,"Feb 20, 2020",0
Algeria,DZA,"Feb 21, 2020",0
Algeria,DZA,"Feb 22, 2020",0
Algeria,DZA,"Feb 23, 2020",0
Algeria,DZA,"Feb 24, 2020",0
Algeria,DZA,"Feb 25, 2020",0
Algeria,DZA,"Feb 26, 2020",0
Algeria,DZA,"Feb 27, 2020",0
Algeria,DZA,"Feb 28, 2020",0
Algeria,DZA,"Feb 29, 2020",0
Algeria,DZA,"Mar 1, 2020",0
Algeria,DZA,"Mar 2, 2020",0
Algeria,DZA,"Mar 4, 2020",0
Algeria,DZA,"Mar 5, 2020",0
Algeria,DZA,"Mar 6, 2020",0
Algeria,DZA,"Mar 9, 2020",0
Algeria,DZA,"Mar 12, 2020",0
Algeria,DZA,"Mar 13, 2020",1
Algeria,DZA,"Mar 14, 2020",2
Algeria,DZA,"Mar 15, 2020",2
Algeria,DZA,"Mar 16, 2020",4
Algeria,DZA,"Mar 17, 2020",4
Algeria,DZA,"Mar 18, 2020",5
Algeria,DZA,"Mar 19, 2020",6
Algeria,DZA,"Mar 20, 2020",7
Algeria,DZA,"Mar 21, 2020",10
Algeria,DZA,"Mar 22, 2020",15
Algeria,DZA,"Mar 23, 2020",17
Algeria,DZA,"Mar 24, 2020",17
Algeria,DZA,"Mar 25, 2020",19
Algeria,DZA,"Mar 26, 2020",21
Algeria,DZA,"Mar 27, 2020",25
Algeria,DZA,"Mar 28, 2020",26
Algeria,DZA,"Mar 29, 2020",29
Algeria,DZA,"Mar 30, 2020",31
Algeria,DZA,"Mar 31, 2020",35
Algeria,DZA,"Apr 1, 2020",44
Algeria,DZA,"Apr 2, 2020",58
Algeria,DZA,"Apr 3, 2020",63
Algeria,DZA,"Apr 4, 2020",105
Algeria,DZA,"Apr 5, 2020",130
Algeria,DZA,"Apr 6, 2020",152
Algeria,DZA,"Apr 7, 2020",173
Algeria,DZA,"Apr 8, 2020",193
Algeria,DZA,"Apr 9, 2020",205
Algeria,DZA,"Apr 10, 2020",235
Algeria,DZA,"Apr 11, 2020",256
Algeria,DZA,"Apr 12, 2020",275
Algeria,DZA,"Apr 13, 2020",293
Algeria,DZA,"Apr 14, 2020",313
Algeria,DZA,"Apr 15, 2020",325
Algeria,DZA,"Apr 16, 2020",336
Algeria,DZA,"Apr 17, 2020",348
Algeria,DZA,"Apr 18, 2020",364
Algeria,DZA,"Apr 19, 2020",367
Algeria,DZA,"Apr 20, 2020",375
Algeria,DZA,"Apr 21, 2020",384
Algeria,DZA,"Apr 22, 2020",392
Algeria,DZA,"Apr 23, 2020",402
Algeria,DZA,"Apr 24, 2020",407
Algeria,DZA,"Apr 25, 2020",415
Algeria,DZA,"Apr 26, 2020",419
Algeria,DZA,"Apr 27, 2020",425
Algeria,DZA,"Apr 28, 2020",432
Algeria,DZA,"Apr 29, 2020",437
Algeria,DZA,"Apr 30, 2020",444
Algeria,DZA,"May 1, 2020",450
Algeria,DZA,"May 2, 2020",453
Algeria,DZA,"May 3, 2020",459
Algeria,DZA,"May 4, 2020",463
Algeria,DZA,"May 5, 2020",465
Algeria,DZA,"May 6, 2020",470
Algeria,DZA,"May 7, 2020",476
Algeria,DZA,"May 8, 2020",483
Algeria,DZA,"May 9, 2020",488
Algeria,DZA,"May 10, 2020",494
Algeria,DZA,"May 11, 2020",502
Algeria,DZA,"May 12, 2020",507
Algeria,DZA,"May 13, 2020",515
Algeria,DZA,"May 14, 2020",522
Algeria,DZA,"May 15, 2020",529
Algeria,DZA,"May 16, 2020",536
Algeria,DZA,"May 17, 2020",542
Algeria,DZA,"May 18, 2020",548
Algeria,DZA,"May 19, 2020",555
Algeria,DZA,"May 20, 2020",561
